iter	Passed	Remaining
0	1	161
1	3	158
2	4	158
3	5	143
4	7	138
5	8	134
6	9	131
7	11	128
8	12	124
9	13	122
10	14	119
11	15	116
12	16	113
13	17	109
14	18	106
15	19	103
16	20	101
17	21	98
18	22	96
19	23	94
20	29	111
21	35	126
22	38	128
23	41	130
24	43	130
25	45	129
26	47	127
27	49	126
28	50	123
29	52	121
30	53	119
31	55	117
32	56	114
33	57	112
34	58	109
35	60	107
36	61	104
37	62	101
38	63	99
39	64	96
40	65	94
41	66	91
42	67	88
43	68	86
44	69	84
45	69	82
46	70	80
47	71	77
48	72	75
49	73	73
50	82	79
51	86	79
52	88	78
53	91	77
54	92	75
55	94	74
56	96	72
57	98	71
58	100	69
59	101	67
60	103	66
61	104	64
62	106	62
63	107	60
64	109	58
65	110	56
66	111	54
67	112	53
68	113	51
69	114	49
70	115	47
71	116	45
72	117	43
73	118	41
74	119	39
75	120	38
76	121	36
77	122	34
78	123	32
79	128	32
80	135	31
81	137	30
82	140	28
83	142	27
84	144	25
85	146	23
86	148	22
87	150	20
88	152	18
89	153	17
90	154	15
91	156	13
92	157	11
93	158	10
94	159	8
95	160	6
96	161	5
97	162	3
98	164	1
99	165	0
